1255,2317,2021-09-25
4673,462,2021-01-27
2660,1694,2021-12-06
878,2332,2021-09-15
3984,4967,2022-07-29
2957,2584,2022-01-27
344,4187,2022-03-17
978,4749,2022-08-24
4403,4885,2021-06-04
1095,365,2021-12-02
555,2503,2022-07-13
1325,372,2021-06-09
3537,4876,2021-05-11
631,1361,2022-02-26
2588,4148,2022-04-26
3524,1699,2021-04-10
3296,3414,2021-08-06
2858,2167,2022-02-27
2100,3798,2022-02-25
2619,1554,2021-05-14
2002,3127,2022-03-22
2285,4762,2022-01-15
2456,1769,2022-04-25
4457,423,2021-08-06
2747,3027,2022-03-30
1032,1180,2022-03-13
4980,1049,2021-08-24
787,2399,2022-04-01
1950,1272,2022-08-13
2220,753,2021-09-19
755,817,2021-07-13
1412,2634,2021-06-17
836,496,2021-03-01
32,1521,2021-10-12
2542,3416,2021-11-30
2570,2119,2021-02-11
4461,401,2021-10-09
4642,773,2022-06-29
942,4465,2022-05-15
2582,4723,2022-04-23
2555,4629,2022-01-12
2265,1098,2021-08-11
1254,3305,2021-05-26
71,4649,2021-12-26
474,61,2021-08-27
2891,3632,2021-07-25
3450,1803,2021-11-28
802,49,2022-05-11
2472,2371,2022-02-27
4316,3491,2022-06-26
2722,3863,2021-05-15
3439,133,2022-01-17
2615,3401,2021-11-14
189,3339,2022-03-12
4169,3952,2021-08-27
3547,2108,2021-01-29
4730,882,2021-02-22
2315,2257,2022-03-06
4312,960,2021-06-15
1168,799,2022-08-17
2920,3714,2021-10-07
1528,2967,2021-11-13
917,454,2021-10-31
1419,351,2021-09-18
4768,3837,2022-06-17
3814,700,2022-07-03
317,1869,2022-01-09
2201,445,2021-06-28
1858,2591,2022-03-23
4358,172,2021-11-01
2217,3964,2021-12-13
4599,3525,2022-04-12
290,1769,2021-03-10
4225,1411,2021-01-26
2442,3353,2021-01-06
2653,4834,2021-05-15
4332,2863,2022-05-28
220,2361,2022-07-22
3398,560,2022-06-30
1223,2709,2021-08-24
4828,4802,2022-08-16
4673,143,2022-03-20
4550,629,2021-03-06
3761,2338,2022-03-02
4898,1854,2021-02-02
1171,3830,2021-02-21
3286,4164,2021-07-14
1261,823,2022-04-12
4170,3917,2021-07-26
3896,1259,2021-10-22
2657,2101,2021-10-24
3324,3195,2021-06-20
1835,566,2022-03-02
1780,825,2022-06-16
178,1122,2022-01-25
2208,2112,2021-08-11
4517,2674,2021-08-18
3656,3902,2022-04-01
3598,286,2021-01-02
955,3124,2022-01-26
1567,2622,2022-06-08
1272,4532,2021-09-15
848,4672,2021-06-02
2135,1845,2021-02-20
615,1017,2021-07-04
380,556,2021-12-14
4488,2377,2022-05-09
1229,540,2021-10-15
574,991,2021-10-27
4809,4050,2021-08-10
1713,1904,2021-09-29
2409,4345,2021-09-13
3888,2373,2022-08-28
3628,4005,2021-08-27
2822,2170,2022-08-03
3588,3427,2021-10-03
2054,4010,2022-06-04
1960,380,2021-05-17
3562,3468,2021-06-24
1622,541,2022-02-28
2292,1772,2022-08-02
975,1663,2022-07-24
4833,3753,2021-06-01
