1,1,2020-10-29,v
2,4,2020-05-20,c+j+f+h
2,3,2020-11-12,t+u+t
3,9,2020-09-23,v+e+q+m+s+y+s+h+k
1,1,2020-03-09,n
2,2,2020-05-12,t+i
2,6,2020-05-17,b+o+b+a+c+j
2,2,2020-02-25,y+y
2,2,2020-10-22,o+v
2,7,2020-02-08,k+l+b+r+p+n+e
2,2,2020-11-11,s+u
2,6,2020-08-07,a+c+g+v+w+i
2,6,2020-07-28,m+x+n+a+i+v
2,5,2020-10-26,l+k+d+b+l
2,6,2020-02-04,k+y+e+f+d+p
2,2,2020-08-27,h+o
3,10,2020-01-20,r+r+s+j+u+m+j+j+b+e
2,5,2020-02-03,r+l+c+e+j
1,1,2020-12-24,b
2,3,2020-09-18,r+i+r
2,4,2020-12-15,s+m+o+h
3,10,2020-05-06,d+v+o+p+d+j+q+e+e+n
3,9,2020-10-21,f+s+h+x+i+e+e+q+t
3,9,2020-09-10,e+j+c+q+k+s+h+y+i
2,5,2020-10-07,j+b+f+j+s
3,8,2020-10-20,w+w+w+d+y+f+e+m
3,10,2020-02-24,w+m+f+p+q+n+o+p+t+m
3,8,2020-10-28,c+q+p+x+j+t+p+i
2,4,2020-02-17,u+x+x+q
2,2,2020-07-02,m+t
2,2,2020-10-30,f+l
3,9,2020-11-04,v+e+t+a+g+v+n+j+m
3,10,2020-03-27,d+o+g+e+s+v+t+f+g+w
2,7,2020-02-20,u+w+x+g+q+t+s
2,5,2020-02-27,b+l+e+d+l
1,1,2020-01-19,d
2,3,2020-10-09,f+d+t
2,2,2020-12-02,f+e
3,9,2020-07-26,j+y+s+w+l+e+l+h+t
3,9,2020-08-04,a+q+q+c+s+a+s+r+p
2,2,2020-04-29,k+x
2,4,2020-04-11,i+x+l+g
3,10,2020-11-14,l+t+e+f+h+l+v+f+w+h
2,6,2020-08-03,a+e+c+l+v+m
2,6,2020-03-24,q+t+p+e+k+u
3,10,2020-06-30,m+m+v+f+i+e+s+r+q+j
